ID_geography,ID_location,latitude,longitude
c1,1,7.38,7.65
c2,2,7.87,7.51
c3,3,7.17,7.04
c4,4,7.32,7.67
c5,5,7.57,6.99
c6,6,6.81,6.64
c7,7,7.51,7.31
c8,8,8.41,7
c9,9,7.58,6.18
c10,10,7.3,7.34
c11,11,7.44,7.68
c12,12,7.46,6.78
c13,13,7.94,6.81
c14,14,7.89,6.86
c15,15,7.78,7.05
c16,16,7.5,7.06
c17,17,7.8,7.65
c18,18,7.51,6.48
c19,19,7.93,7.65
c20,20,7.66,7.28
c21,21,7.43,6.81
c22,22,7.8,6.7
c23,23,6.98,7.16
c24,24,7.61,6.1
c25,25,7.19,7.41
c26,26,7.06,7.56
c27,27,6.92,6.96
c28,28,7.03,7.12
c29,29,7.21,7.76
c30,30,7.42,7.27
c31,31,7.29,6.39
c32,32,7.25,6.78
c33,33,7.32,7.14
c34,34,7.81,7.43
c35,35,7.92,6.27
c36,36,6.85,6.65
c37,37,7.99,6.64
c38,38,7.67,6.97
c39,39,6.87,7.11
c40,40,7.92,6.3
c41,41,7.62,6.3
c42,42,7.11,6.81
c43,43,6.97,7.18
c44,44,7.49,6.98
c45,45,7.03,7.07
c46,46,7.04,7.02
c47,47,7.71,7.42
c48,48,7.94,6.05
c49,49,7.46,7.63
c50,50,7.92,6.28
c51,51,7.7,5.97
c52,52,6.79,6.78
c53,53,7.52,7.63
c54,54,7.8,6.09
c55,55,7.78,5.8
c56,56,7.88,6.19
c57,57,7.99,6.06
c58,58,7.87,6.17
c59,59,7.98,5.99
c60,60,7.17,6.83
c61,61,7.46,6.69
c62,62,7.85,7.52
c63,63,7.52,7.11
c64,64,7.58,7.1
c65,65,7.54,7.75
c66,66,7.39,7.54
c67,67,6.56,6.72
c68,68,7.71,7.55
c69,69,7.04,7.32
c70,70,7.28,7.5
c71,71,7.07,7.1
c72,72,7.47,6.15
c73,73,7.97,7.25
c74,74,7.87,6.48
c75,75,7.7,7.1
c76,76,7.2,7.14
c77,77,7.18,7.32
c78,78,7.36,6.79
c79,79,7.89,7.07
c80,80,6.86,6.98
c81,81,7.23,7.16
c82,82,7.03,7.2
c83,83,7.12,7.09
c84,84,7.4,7.28
c85,85,6.82,6.78
c86,86,7.18,7.33
c87,87,7.31,7.43
c88,88,7.32,7.24
