ID_location,country,city,region,population
1,NG,Ankpa,Kogi,56362
2,NG,Bugana,Kogi,11026
3,NG,Adoru,Kogi,12230
4,NG,Ankpa,Kogi,12470
5,NG,Abocho,Kogi,13261
6,NG,Illushi,Kogi,7040
7,NG,Abocho,Kogi,13261
8,NG,Buga,Kogi,5864
9,NG,Ogaminana,Kogi,280024
10,NG,Ete,Kogi,10641
11,NG,Ankpa,Kogi,26857
12,NG,Ohunene,Kogi,9873
13,NG,Lokoja,Kogi,6507
14,NG,Lokoja,Kogi,7329
15,NG,Dekina,Kogi,9238
16,NG,Abocho,Kogi,13261
17,NG,Bugana,Kogi,11052
18,NG,Ajaokuta,Kogi,8046
19,NG,Bugana,Kogi,11260
20,NG,Dekina,Kogi,13261
21,NG,Ohunene,Kogi,11287
22,NG,Lokoja,Kogi,31161
23,NG,Adoru,Kogi,8642
24,NG,Ogaminana,Kogi,9135
25,NG,Ete,Kogi,20853
26,NG,Otukpa,Kogi,32919
27,NG,Ogurugu,Kogi,8642
28,NG,Adoru,Kogi,8788
29,NG,Otukpa,Kogi,18936
30,NG,Abocho,Kogi,13261
31,NG,Auchi,Kogi,13410
32,NG,Idah,Kogi,10573
33,NG,Abocho,Kogi,13261
34,NG,Bugana,Kogi,11026
35,NG,Kabba,Kogi,3861
36,NG,Illushi,Kogi,6170
37,NG,Koton-Karfe,Kogi,1788
38,NG,Dekina,Kogi,12524
39,NG,Adoru,Kogi,10617
40,NG,Kabba,Kogi,3450
41,NG,Ogaminana,Kogi,174109
42,NG,Idah,Kogi,14811
43,NG,Adoru,Kogi,8642
44,NG,Abocho,Kogi,13261
45,NG,Adoru,Kogi,9551
46,NG,Adoru,Kogi,9700
47,NG,Bugana,Kogi,11114
48,NG,Kabba,Kogi,7910
49,NG,Ankpa,Kogi,32161
50,NG,Kabba,Kogi,3663
51,NG,Kabba,Kogi,12667
52,NG,Ogurugu,Kogi,8642
53,NG,Ankpa,Kogi,11026
54,NG,Kabba,Kogi,4107
55,NG,Omuo-Ekiti,Kogi,11803
56,NG,Kabba,Kogi,4023
57,NG,Kabba,Kogi,7200
58,NG,Kabba,Kogi,4023
59,NG,Kabba,Kogi,9387
60,NG,Idah,Kogi,8642
61,NG,Ohunene,Kogi,8686
62,NG,Bugana,Kogi,11026
63,NG,Abocho,Kogi,13261
64,NG,Abocho,Kogi,13261
65,NG,Ugbokpo,Kogi,11258
66,NG,Ankpa,Kogi,11026
67,NG,Illushi,Kogi,14159
68,NG,Bugana,Kogi,11026
69,NG,Ete,Kogi,28357
70,NG,Ankpa,Kogi,13354
71,NG,Adoru,Kogi,10367
72,NG,Ogaminana,Kogi,14933
73,NG,Bugana,Kogi,7289
74,NG,Lokoja,Kogi,4608
75,NG,Dekina,Kogi,11941
76,NG,Adoru,Kogi,13259
77,NG,Ete,Kogi,11637
78,NG,Ohunene,Kogi,13261
79,NG,Dekina,Kogi,8146
80,NG,Ogurugu,Kogi,9998
81,NG,Adoru,Kogi,13110
82,NG,Adoru,Kogi,8642
83,NG,Adoru,Kogi,12534
84,NG,Abocho,Kogi,13261
85,NG,Ogurugu,Kogi,8642
86,NG,Ete,Kogi,13633
87,NG,Ankpa,Kogi,11959
88,NG,Ete,Kogi,12227
89,NG,Abocho,Kogi,13261
90,NG,Abocho,Kogi,13261
91,NG,Dekina,Kogi,12863
92,NG,Ankpa,Kogi,11026
93,NG,Ode,Kogi,6954
94,NG,Ankpa,Kogi,16319
95,NG,Illushi,Kogi,8731
96,NG,Bugana,Kogi,9861
97,NG,Ete,Kogi,18364
98,NG,Bugana,Kogi,7555
99,NG,Abocho,Kogi,10560
100,NG,Ankpa,Kogi,13183
101,NG,Adani,Kogi,10767
102,NG,Ankpa,Kogi,56466
103,NG,Ete,Kogi,14515
104,NG,Bugana,Kogi,11026
105,NG,Adoru,Kogi,8683
106,NG,Adoru,Kogi,8642
107,NG,Ankpa,Kogi,56466
108,NG,Kabba,Kogi,4023
109,NG,Otukpa,Kogi,19378
110,NG,Abocho,Kogi,13261
111,NG,Abocho,Kogi,13261
112,NG,Kabba,Kogi,9155
113,NG,Ogurugu,Kogi,8642
114,NG,Kabba,Kogi,9934
115,NG,Ugbokpo,Kogi,11026
116,NG,Ohunene,Kogi,9451
117,NG,Abocho,Kogi,13261
118,NG,Lokoja,Kogi,36047
119,NG,Ankpa,Kogi,13261
120,NG,Dekina,Kogi,13261
121,NG,Adoru,Kogi,15419
122,NG,Ugbokpo,Kogi,11026
123,NG,Dekina,Kogi,13255
124,NG,Ete,Kogi,27349
125,NG,Abocho,Kogi,13261
126,NG,Ohunene,Kogi,11111
127,NG,Bugana,Kogi,10305
128,NG,Ete,Kogi,11035
129,NG,Dekina,Kogi,9021
130,NG,Bugana,Kogi,11026
131,NG,Lokoja,Kogi,8819
132,NG,Dekina,Kogi,7790
133,NG,Kabba,Kogi,4293
134,NG,Ankpa,Kogi,12659
135,NG,Bugana,Kogi,7671
136,NG,Bugana,Kogi,10787
137,NG,Dekina,Kogi,13223
138,NG,Ete,Kogi,11430
139,NG,Dekina,Kogi,9238
140,NG,Icheu,Kogi,9115
141,NG,Kabba,Kogi,2504
142,NG,Dekina,Kogi,12328
143,NG,Kabba,Kogi,9387
144,NG,Dekina,Kogi,9238
145,NG,Dekina,Kogi,11987
146,NG,Bugana,Kogi,11026
147,NG,Ogaminana,Kogi,10000
148,NG,Adoru,Kogi,8675
149,NG,Ete,Kogi,44171
150,NG,Illushi,Kogi,8861
151,NG,Otukpa,Kogi,20860
152,NG,Otukpa,Kogi,20860
153,NG,Ankpa,Kogi,14097
154,NG,Otukpa,Kogi,20860
155,NG,Otukpa,Kogi,20939
156,NG,Adoru,Kogi,13187
157,NG,Ajaokuta,Kogi,8067
158,NG,Ohunene,Kogi,13095
159,NG,Kabba,Kogi,11298
160,NG,Kabba,Kogi,4347
161,NG,Ankpa,Kogi,12218
162,NG,Ajaokuta,Kogi,8504
163,NG,Bugana,Kogi,7901
164,NG,Ogaminana,Kogi,5159
165,NG,Ohunene,Kogi,10904
166,NG,Abocho,Kogi,13261
167,NG,Ogaminana,Kogi,257409
168,NG,Adoru,Kogi,11656
169,NG,Dekina,Kogi,9238
170,NG,Idah,Kogi,8642
171,NG,Abocho,Kogi,13261
172,NG,Ete,Kogi,20860
173,NG,Ete,Kogi,11601
174,NG,Ode,Kogi,9438
175,NG,Igarra,Kogi,16675
