ID_date_taken,ID_location,timezone,date_taken
b1,1,3600,2024-02-21
b2,2,3600,2024-02-21
b3,3,3600,2024-02-21
b4,4,3600,2024-02-21
b5,5,3600,2024-02-21
b6,6,3600,2024-02-21
b7,7,3600,2024-02-21
b8,8,3600,2024-02-21
b9,9,3600,2024-02-21
b10,10,3600,2024-02-21
b11,11,3600,2024-02-21
b12,12,3600,2024-02-21
b13,13,3600,2024-02-21
b14,14,3600,2024-02-21
b15,15,3600,2024-02-21
b16,16,3600,2024-02-21
b17,17,3600,2024-02-21
b18,18,3600,2024-02-21
b19,19,3600,2024-02-21
b20,20,3600,2024-02-21
b21,21,3600,2024-02-21
b22,22,3600,2024-02-21
b23,23,3600,2024-02-21
b24,24,3600,2024-02-21
b25,25,3600,2024-02-21
b26,26,3600,2024-02-21
b27,27,3600,2024-02-21
b28,28,3600,2024-02-21
b29,29,3600,2024-02-21
b30,30,3600,2024-02-21
b31,31,3600,2024-02-21
b32,32,3600,2024-02-21
b33,33,3600,2024-02-21
b34,34,3600,2024-02-21
b35,35,3600,2024-02-21
b36,36,3600,2024-02-21
b37,37,3600,2024-02-21
b38,38,3600,2024-02-21
b39,39,3600,2024-02-21
b40,40,3600,2024-02-21
b41,41,3600,2024-02-21
b42,42,3600,2024-02-21
b43,43,3600,2024-02-21
b44,44,3600,2024-02-21
b45,45,3600,2024-02-21
b46,46,3600,2024-02-21
b47,47,3600,2024-02-21
b48,48,3600,2024-02-21
b49,49,3600,2024-02-21
b50,50,3600,2024-02-21
b51,51,3600,2024-02-21
b52,52,3600,2024-02-21
b53,53,3600,2024-02-21
b54,54,3600,2024-02-21
b55,55,3600,2024-02-21
b56,56,3600,2024-02-21
b57,57,3600,2024-02-21
b58,58,3600,2024-02-21
b59,59,3600,2024-02-21
b60,60,3600,2024-02-21
b61,61,3600,2024-02-21
b62,62,3600,2024-02-21
b63,63,3600,2024-02-21
b64,64,3600,2024-02-21
b65,65,3600,2024-02-21
b66,66,3600,2024-02-21
b67,67,3600,2024-02-21
b68,68,3600,2024-02-21
b69,69,3600,2024-02-21
b70,70,3600,2024-02-21
b71,71,3600,2024-02-21
b72,72,3600,2024-02-21
b73,73,3600,2024-02-21
b74,74,3600,2024-02-21
b75,75,3600,2024-02-21
b76,76,3600,2024-02-21
b77,77,3600,2024-02-21
b78,78,3600,2024-02-21
b79,79,3600,2024-02-21
b80,80,3600,2024-02-21
b81,81,3600,2024-02-21
b82,82,3600,2024-02-21
b83,83,3600,2024-02-21
b84,84,3600,2024-02-21
b85,85,3600,2024-02-21
b86,86,3600,2024-02-21
b87,87,3600,2024-02-21
b88,88,3600,2024-02-21
b89,89,3600,2024-02-21
b90,90,3600,2024-02-21
b91,91,3600,2024-02-21
b92,92,3600,2024-02-21
b93,93,3600,2024-02-21
b94,94,3600,2024-02-21
b95,95,3600,2024-02-21
b96,96,3600,2024-02-21
b97,97,3600,2024-02-21
b98,98,3600,2024-02-21
b99,99,3600,2024-02-21
b100,100,3600,2024-02-21
b101,101,3600,2024-02-21
b102,102,3600,2024-02-21
b103,103,3600,2024-02-21
b104,104,3600,2024-02-21
b105,105,3600,2024-02-21
b106,106,3600,2024-02-21
b107,107,3600,2024-02-21
b108,108,3600,2024-02-21
b109,109,3600,2024-02-21
b110,110,3600,2024-02-21
b111,111,3600,2024-02-21
b112,112,3600,2024-02-21
b113,113,3600,2024-02-21
b114,114,3600,2024-02-21
b115,115,3600,2024-02-21
b116,116,3600,2024-02-21
b117,117,3600,2024-02-21
b118,118,3600,2024-02-21
b119,119,3600,2024-02-21
b120,120,3600,2024-02-21
b121,121,3600,2024-02-21
b122,122,3600,2024-02-21
b123,123,3600,2024-02-21
b124,124,3600,2024-02-21
b125,125,3600,2024-02-21
b126,126,3600,2024-02-21
b127,127,3600,2024-02-21
b128,128,3600,2024-02-21
b129,129,3600,2024-02-21
b130,130,3600,2024-02-21
b131,131,3600,2024-02-21
b132,132,3600,2024-02-21
b133,133,3600,2024-02-21
b134,134,3600,2024-02-21
b135,135,3600,2024-02-21
b136,136,3600,2024-02-21
b137,137,3600,2024-02-21
b138,138,3600,2024-02-21
b139,139,3600,2024-02-21
b140,140,3600,2024-02-21
b141,141,3600,2024-02-21
b142,142,3600,2024-02-21
b143,143,3600,2024-02-21
b144,144,3600,2024-02-21
b145,145,3600,2024-02-21
b146,146,3600,2024-02-21
b147,147,3600,2024-02-21
b148,148,3600,2024-02-21
b149,149,3600,2024-02-21
b150,150,3600,2024-02-21
b151,151,3600,2024-02-21
b152,152,3600,2024-02-21
b153,153,3600,2024-02-21
b154,154,3600,2024-02-21
b155,155,3600,2024-02-21
b156,156,3600,2024-02-21
b157,157,3600,2024-02-21
b158,158,3600,2024-02-21
b159,159,3600,2024-02-21
b160,160,3600,2024-02-21
b161,161,3600,2024-02-21
b162,162,3600,2024-02-21
b163,163,3600,2024-02-21
b164,164,3600,2024-02-21
b165,165,3600,2024-02-21
b166,166,3600,2024-02-21
b167,167,3600,2024-02-21
b168,168,3600,2024-02-21
b169,169,3600,2024-02-21
b170,170,3600,2024-02-21
b171,171,3600,2024-02-21
b172,172,3600,2024-02-21
b173,173,3600,2024-02-21
b174,174,3600,2024-02-21
b175,175,3600,2024-02-21
b176,176,3600,2024-02-21
b177,177,3600,2024-02-21
b178,178,3600,2024-02-21
b179,179,3600,2024-02-21
b180,180,3600,2024-02-21
b181,181,3600,2024-02-21
b182,182,3600,2024-02-21
b183,183,3600,2024-02-21
b184,184,3600,2024-02-21
b185,185,3600,2024-02-21
b186,186,3600,2024-02-21
b187,187,3600,2024-02-21
b188,188,3600,2024-02-21
b189,189,3600,2024-02-21
b190,190,3600,2024-02-21
b191,191,3600,2024-02-21
b192,192,3600,2024-02-21
b193,193,3600,2024-02-21
b194,194,3600,2024-02-21
b195,195,3600,2024-02-21
b196,196,3600,2024-02-21
b197,197,3600,2024-02-21
b198,198,3600,2024-02-21
b199,199,3600,2024-02-21
b200,200,3600,2024-02-21
b201,201,3600,2024-02-21
b202,202,3600,2024-02-21
b203,203,3600,2024-02-21
b204,204,3600,2024-02-21
b205,205,3600,2024-02-21
b206,206,3600,2024-02-21
b207,207,3600,2024-02-21
b208,208,3600,2024-02-21
b209,209,3600,2024-02-21
b210,210,3600,2024-02-21
b211,211,3600,2024-02-21
b212,212,3600,2024-02-21
b213,213,3600,2024-02-21
b214,214,3600,2024-02-21
b215,215,3600,2024-02-21
b216,216,3600,2024-02-21
b217,217,3600,2024-02-21
b218,218,3600,2024-02-21
b219,219,3600,2024-02-21
b220,220,3600,2024-02-21
b221,221,3600,2024-02-21
b222,222,3600,2024-02-21
b223,223,3600,2024-02-21
b224,224,3600,2024-02-21
b225,225,3600,2024-02-21
b226,226,3600,2024-02-21
b227,227,3600,2024-02-21
b228,228,3600,2024-02-21
b229,229,3600,2024-02-21
b230,230,3600,2024-02-21
b231,231,3600,2024-02-21
b232,232,3600,2024-02-21
b233,233,3600,2024-02-21
b234,234,3600,2024-02-21
b235,235,3600,2024-02-21
b236,236,3600,2024-02-21
b237,237,3600,2024-02-21
b238,238,3600,2024-02-21
b239,239,3600,2024-02-21
b240,240,3600,2024-02-21
b241,241,3600,2024-02-21
b242,242,3600,2024-02-21
b243,243,3600,2024-02-21
b244,244,3600,2024-02-21
b245,245,3600,2024-02-21
b246,246,3600,2024-02-21
b247,247,3600,2024-02-21
b248,248,3600,2024-02-21
b249,249,3600,2024-02-21
b250,250,3600,2024-02-21
b251,251,3600,2024-02-21
b252,252,3600,2024-02-21
b253,253,3600,2024-02-21
b254,254,3600,2024-02-21
b255,255,3600,2024-02-21
b256,256,3600,2024-02-21
b257,257,3600,2024-02-21
b258,258,3600,2024-02-21
b259,259,3600,2024-02-21
b260,260,3600,2024-02-21
b261,261,3600,2024-02-21
b262,262,3600,2024-02-21
b263,263,3600,2024-02-21
